[Ramulator::ReadWriteTrace] [info] Loading trace file /media/fann/T9/MEM_INTENSIVE_SPEC_GAP/omnetpp.txt ...
[Ramulator::ReadWriteTrace] [info] Loaded 1000000 instructions.
READ DURATION: 564, READ INSTS: 58, LAST WRITE DURATION: 249, LAST WRITE INSTS: 26, R/W DURATION RATIO: 2.26506
READ DURATION: 451, READ INSTS: 46, LAST WRITE DURATION: 275, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.64
READ DURATION: 478, READ INSTS: 51, LAST WRITE DURATION: 307, LAST WRITE INSTS: 26, R/W DURATION RATIO: 1.557
READ DURATION: 492, READ INSTS: 54, LAST WRITE DURATION: 233, LAST WRITE INSTS: 28, R/W DURATION RATIO: 2.11159
READ DURATION: 542, READ INSTS: 47, LAST WRITE DURATION: 258, LAST WRITE INSTS: 17, R/W DURATION RATIO: 2.10078
READ DURATION: 505, READ INSTS: 48, LAST WRITE DURATION: 264, LAST WRITE INSTS: 34, R/W DURATION RATIO: 1.91288
READ DURATION: 488, READ INSTS: 48, LAST WRITE DURATION: 256, LAST WRITE INSTS: 28, R/W DURATION RATIO: 1.90625
READ DURATION: 508, READ INSTS: 46, LAST WRITE DURATION: 188, LAST WRITE INSTS: 22, R/W DURATION RATIO: 2.70213
READ DURATION: 1887, READ INSTS: 55, LAST WRITE DURATION: 285, LAST WRITE INSTS: 30, R/W DURATION RATIO: 6.62105
READ DURATION: 697, READ INSTS: 69, LAST WRITE DURATION: 199, LAST WRITE INSTS: 25, R/W DURATION RATIO: 3.50251
READ DURATION: 697, READ INSTS: 74, LAST WRITE DURATION: 435, LAST WRITE INSTS: 44, R/W DURATION RATIO: 1.6023
READ DURATION: 573, READ INSTS: 53, LAST WRITE DURATION: 299, LAST WRITE INSTS: 31, R/W DURATION RATIO: 1.91639
READ DURATION: 461, READ INSTS: 45, LAST WRITE DURATION: 318, LAST WRITE INSTS: 40, R/W DURATION RATIO: 1.44969
READ DURATION: 630, READ INSTS: 63, LAST WRITE DURATION: 251, LAST WRITE INSTS: 26, R/W DURATION RATIO: 2.50996
READ DURATION: 606, READ INSTS: 57, LAST WRITE DURATION: 283, LAST WRITE INSTS: 36, R/W DURATION RATIO: 2.14134
READ DURATION: 502, READ INSTS: 49, LAST WRITE DURATION: 243, LAST WRITE INSTS: 34, R/W DURATION RATIO: 2.06584
READ DURATION: 456, READ INSTS: 42, LAST WRITE DURATION: 328, LAST WRITE INSTS: 24, R/W DURATION RATIO: 1.39024
READ DURATION: 372, READ INSTS: 42, LAST WRITE DURATION: 383, LAST WRITE INSTS: 38, R/W DURATION RATIO: 0.971279
WAITED CYCLES: 120
READ DURATION: 558, READ INSTS: 60, LAST WRITE DURATION: 294, LAST WRITE INSTS: 24, R/W DURATION RATIO: 1.89796
READ DURATION: 472, READ INSTS: 41, LAST WRITE DURATION: 278, LAST WRITE INSTS: 19, R/W DURATION RATIO: 1.69784
READ DURATION: 514, READ INSTS: 46, LAST WRITE DURATION: 238, LAST WRITE INSTS: 28, R/W DURATION RATIO: 2.15966
READ DURATION: 479, READ INSTS: 47, LAST WRITE DURATION: 237, LAST WRITE INSTS: 34, R/W DURATION RATIO: 2.0211
READ DURATION: 479, READ INSTS: 45, LAST WRITE DURATION: 1789, LAST WRITE INSTS: 30, R/W DURATION RATIO: 0.285119
WAITED CYCLES: 1572
READ DURATION: 467, READ INSTS: 45, LAST WRITE DURATION: 297, LAST WRITE INSTS: 34, R/W DURATION RATIO: 1.57239
READ DURATION: 450, READ INSTS: 36, LAST WRITE DURATION: 128, LAST WRITE INSTS: 19, R/W DURATION RATIO: 3.51562
READ DURATION: 501, READ INSTS: 49, LAST WRITE DURATION: 237, LAST WRITE INSTS: 33, R/W DURATION RATIO: 2.11392
READ DURATION: 501, READ INSTS: 49, LAST WRITE DURATION: 227, LAST WRITE INSTS: 27, R/W DURATION RATIO: 2.20705
READ DURATION: 725, READ INSTS: 76, LAST WRITE DURATION: 244, LAST WRITE INSTS: 27, R/W DURATION RATIO: 2.97131
READ DURATION: 566, READ INSTS: 58, LAST WRITE DURATION: 430, LAST WRITE INSTS: 43, R/W DURATION RATIO: 1.31628
READ DURATION: 357, READ INSTS: 30, LAST WRITE DURATION: 251, LAST WRITE INSTS: 29, R/W DURATION RATIO: 1.42231
READ DURATION: 671, READ INSTS: 67, LAST WRITE DURATION: 240, LAST WRITE INSTS: 23, R/W DURATION RATIO: 2.79583
READ DURATION: 635, READ INSTS: 65, LAST WRITE DURATION: 255, LAST WRITE INSTS: 34, R/W DURATION RATIO: 2.4902
READ DURATION: 566, READ INSTS: 55, LAST WRITE DURATION: 300, LAST WRITE INSTS: 20, R/W DURATION RATIO: 1.88667
READ DURATION: 479, READ INSTS: 44, LAST WRITE DURATION: 247, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.93927
READ DURATION: 533, READ INSTS: 51, LAST WRITE DURATION: 309, LAST WRITE INSTS: 33, R/W DURATION RATIO: 1.72492
READ DURATION: 2019, READ INSTS: 59, LAST WRITE DURATION: 233, LAST WRITE INSTS: 20, R/W DURATION RATIO: 8.66524
READ DURATION: 417, READ INSTS: 40, LAST WRITE DURATION: 246, LAST WRITE INSTS: 35, R/W DURATION RATIO: 1.69512
READ DURATION: 443, READ INSTS: 39, LAST WRITE DURATION: 220, LAST WRITE INSTS: 18, R/W DURATION RATIO: 2.01364
READ DURATION: 562, READ INSTS: 49, LAST WRITE DURATION: 289, LAST WRITE INSTS: 28, R/W DURATION RATIO: 1.94464
READ DURATION: 985, READ INSTS: 104, LAST WRITE DURATION: 283, LAST WRITE INSTS: 28, R/W DURATION RATIO: 3.48057
READ DURATION: 465, READ INSTS: 43, LAST WRITE DURATION: 419, LAST WRITE INSTS: 48, R/W DURATION RATIO: 1.10979
WAITED CYCLES: 73
READ DURATION: 626, READ INSTS: 63, LAST WRITE DURATION: 383, LAST WRITE INSTS: 43, R/W DURATION RATIO: 1.63446
READ DURATION: 602, READ INSTS: 62, LAST WRITE DURATION: 233, LAST WRITE INSTS: 25, R/W DURATION RATIO: 2.58369
