[Ramulator::ReadWriteTrace] [info] Loading trace file /media/fann/T9/MEM_INTENSIVE_SPEC_GAP/fotonik3d.txt ...
[Ramulator::ReadWriteTrace] [info] Loaded 1000000 instructions.
READ DURATION: 744, READ INSTS: 82, LAST WRITE DURATION: 256, LAST WRITE INSTS: 25, R/W DURATION RATIO: 2.90625
READ DURATION: 564, READ INSTS: 62, LAST WRITE DURATION: 277, LAST WRITE INSTS: 27, R/W DURATION RATIO: 2.0361
READ DURATION: 589, READ INSTS: 65, LAST WRITE DURATION: 322, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.82919
READ DURATION: 464, READ INSTS: 49, LAST WRITE DURATION: 292, LAST WRITE INSTS: 28, R/W DURATION RATIO: 1.58904
READ DURATION: 753, READ INSTS: 82, LAST WRITE DURATION: 260, LAST WRITE INSTS: 27, R/W DURATION RATIO: 2.89615
READ DURATION: 1996, READ INSTS: 58, LAST WRITE DURATION: 231, LAST WRITE INSTS: 20, R/W DURATION RATIO: 8.64069
READ DURATION: 462, READ INSTS: 52, LAST WRITE DURATION: 298, LAST WRITE INSTS: 33, R/W DURATION RATIO: 1.55034
READ DURATION: 455, READ INSTS: 44, LAST WRITE DURATION: 159, LAST WRITE INSTS: 22, R/W DURATION RATIO: 2.86164
READ DURATION: 391, READ INSTS: 45, LAST WRITE DURATION: 258, LAST WRITE INSTS: 32, R/W DURATION RATIO: 1.5155
READ DURATION: 521, READ INSTS: 59, LAST WRITE DURATION: 270, LAST WRITE INSTS: 30, R/W DURATION RATIO: 1.92963
READ DURATION: 443, READ INSTS: 51, LAST WRITE DURATION: 314, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.41083
READ DURATION: 546, READ INSTS: 60, LAST WRITE DURATION: 276, LAST WRITE INSTS: 25, R/W DURATION RATIO: 1.97826
READ DURATION: 573, READ INSTS: 66, LAST WRITE DURATION: 292, LAST WRITE INSTS: 29, R/W DURATION RATIO: 1.96233
READ DURATION: 458, READ INSTS: 49, LAST WRITE DURATION: 270, LAST WRITE INSTS: 24, R/W DURATION RATIO: 1.6963
READ DURATION: 591, READ INSTS: 65, LAST WRITE DURATION: 289, LAST WRITE INSTS: 28, R/W DURATION RATIO: 2.04498
READ DURATION: 508, READ INSTS: 55, LAST WRITE DURATION: 274, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.85401
READ DURATION: 503, READ INSTS: 57, LAST WRITE DURATION: 411, LAST WRITE INSTS: 29, R/W DURATION RATIO: 1.22384
READ DURATION: 566, READ INSTS: 61, LAST WRITE DURATION: 284, LAST WRITE INSTS: 25, R/W DURATION RATIO: 1.99296
READ DURATION: 682, READ INSTS: 74, LAST WRITE DURATION: 268, LAST WRITE INSTS: 25, R/W DURATION RATIO: 2.54478
READ DURATION: 1991, READ INSTS: 60, LAST WRITE DURATION: 308, LAST WRITE INSTS: 30, R/W DURATION RATIO: 6.46429
READ DURATION: 580, READ INSTS: 62, LAST WRITE DURATION: 290, LAST WRITE INSTS: 25, R/W DURATION RATIO: 2
READ DURATION: 319, READ INSTS: 36, LAST WRITE DURATION: 271, LAST WRITE INSTS: 29, R/W DURATION RATIO: 1.17712
READ DURATION: 215, READ INSTS: 21, LAST WRITE DURATION: 236, LAST WRITE INSTS: 28, R/W DURATION RATIO: 0.911017
